training noise-level and iteration, test noise-level, epoch, reconstruction error, kl-divergence, cost
0.0 1, 0.08, 0, 780156.2905311584, 85496068.33033475, 86276224.62086591
0.0 1, 0.1, 0, 780082.2234153748, 85489803.18309575, 86269885.40651113
0.0 1, 0.12, 0, 780158.6270332336, 85466775.93852817, 86246934.5655614
0.0 1, 0.14, 0, 780171.7114448547, 85472874.42788967, 86253046.13933453
0.0 1, 0.16, 0, 780023.4603881836, 85484176.96694902, 86264200.4273372
0.0 1, 0.18, 0, 780043.7295436859, 85450592.04591434, 86230635.77545802
0.0 1, 0.2, 0, 780071.9428062439, 85481375.56062388, 86261447.50343013
0.0 1, 0.22, 0, 780070.2488422394, 85481581.74779096, 86261651.9966332
0.0 1, 0.24, 0, 779983.9735031128, 85437487.80001852, 86217471.77352163
0.0 1, 0.26, 0, 780246.2458610535, 85567651.80185585, 86347898.0477169
0.0 1, 0.28, 0, 780171.4777946472, 85541024.05868116, 86321195.5364758
0.0 1, 0.3, 0, 780148.755311966, 85516018.30261429, 86296167.05792625
0.0 1, 0.32, 0, 780177.7279376984, 85532266.01868206, 86312443.74661976
0.0 1, 0.34, 0, 780249.3417263031, 85579186.1487188, 86359435.4904451
0.0 1, 0.36, 0, 780078.4265995026, 85524714.02662969, 86304792.45322919
0.0 1, 0.38, 0, 780219.7265625, 85582581.6932587, 86362801.4198212
0.0 1, 0.4, 0, 780324.6355056763, 85648603.87774986, 86428928.51325554
0.0 1, 0.42, 0, 780274.6343612671, 85603119.32542044, 86383393.9597817
0.0 1, 0.44, 0, 780308.3384037018, 85587813.29403439, 86368121.6324381
0.0 1, 0.46, 0, 780491.1112785339, 85665444.12671804, 86445935.23799658
0.0 1, 0.48, 0, 780340.4653072357, 85632878.5014678, 86413218.96677503
0.0 1, 0.5, 0, 780255.6502819061, 85607653.18660298, 86387908.83688489
0.0 1, 0.0, 1, 50738.75620961189, 0.035492635508155956, 50738.7917022474
0.0 1, 0.02, 1, 50738.40573430061, 0.03570171683888468, 50738.44143601745
0.0 1, 0.04, 1, 50738.30351233482, 0.03627634247792788, 50738.3397886773
0.0 1, 0.06, 1, 50738.41668665409, 0.0373951204483608, 50738.45408177454
0.0 1, 0.08, 1, 50738.350972533226, 0.03883688031322863, 50738.38980941354
0.0 1, 0.1, 1, 50739.314779639244, 0.04069100614342602, 50739.35547064539
0.0 1, 0.12, 1, 50738.219544291496, 0.04309719815288093, 50738.26264148965
0.0 1, 0.14, 1, 50738.482400774956, 0.04554158269305264, 50738.52794235765
0.0 1, 0.16, 1, 50739.20890688896, 0.04884778164122128, 50739.2577546706
0.0 1, 0.18, 1, 50738.97525668144, 0.05119150301003306, 50739.02644818445
0.0 1, 0.2, 1, 50738.8511300087, 0.05593238764641728, 50738.90706239634
0.0 1, 0.22, 1, 50738.73795568943, 0.059973536272086236, 50738.7979292257
0.0 1, 0.24, 1, 50739.07017707825, 0.06341405110529941, 50739.13359112935
0.0 1, 0.26, 1, 50739.12128806114, 0.06678651827517867, 50739.18807457942
0.0 1, 0.28, 1, 50738.95700275898, 0.07134268815637723, 50739.028345447136
0.0 1, 0.3, 1, 50739.30382728577, 0.07368504139781495, 50739.37751232716
0.0 1, 0.32, 1, 50738.98255825043, 0.07946098351250752, 50739.06201923394
0.0 1, 0.34, 1, 50738.79636824131, 0.08059691813782655, 50738.87696515945
0.0 1, 0.36, 1, 50738.92779648304, 0.08610477795697269, 50739.013901260994
0.0 1, 0.38, 1, 50738.204941153526, 0.08902238085645875, 50738.29396353438
0.0 1, 0.4, 1, 50738.949701189995, 0.09234276350574133, 50739.0420439535
0.0 1, 0.42, 1, 50738.172084093094, 0.09355938204831593, 50738.26564347514
0.0 1, 0.44, 1, 50738.555416464806, 0.09874594791296254, 50738.65416241272
0.0 1, 0.46, 1, 50737.9274815321, 0.10365755579064895, 50738.031139087885
0.0 1, 0.48, 1, 50739.095732569695, 0.10815683478509774, 50739.20388940448
0.0 1, 0.5, 1, 50738.920494914055, 0.11048469268559491, 50739.03097960674
0.0 1, 0.0, 2, 50040.77732563019, 0.03392138663586264, 50040.81124701683
0.0 1, 0.02, 2, 50040.73351621628, 0.03414878577892955, 50040.76766500206
0.0 1, 0.04, 2, 50041.167959570885, 0.034828550606951, 50041.20278812149
0.0 1, 0.06, 2, 50040.215104818344, 0.035923511288187604, 50040.25102832963
0.0 1, 0.08, 2, 50040.95986485481, 0.03736566750845571, 50040.99723052232
0.0 1, 0.1, 2, 50040.69335758686, 0.03984625805439257, 50040.73320384492
0.0 1, 0.12, 2, 50040.47431051731, 0.041421421668898395, 50040.51573193898
0.0 1, 0.14, 2, 50041.90906882286, 0.045602391612231674, 50041.95467121447
0.0 1, 0.16, 2, 50040.60573875904, 0.047332624441028925, 50040.65307138348
0.0 1, 0.18, 2, 50040.53272306919, 0.05201062847210458, 50040.584733697666
0.0 1, 0.2, 2, 50040.496215224266, 0.05554791144423221, 50040.55176313571
0.0 1, 0.22, 2, 50040.64954817295, 0.05960919138474163, 50040.709157364334
0.0 1, 0.24, 2, 50040.919706225395, 0.06292529556022364, 50040.98263152096
0.0 1, 0.26, 2, 50040.52177071571, 0.06710335067054207, 50040.58887406639
0.0 1, 0.28, 2, 50041.27383232117, 0.06987103924807636, 50041.34370336041
0.0 1, 0.3, 2, 50041.26653075218, 0.07607530863938261, 50041.34260606082
0.0 1, 0.32, 2, 50040.22605717182, 0.07833851570621486, 50040.304395687526
0.0 1, 0.34, 2, 50040.51446914673, 0.07934221683826737, 50040.593811363564
0.0 1, 0.36, 2, 50040.788277983665, 0.08521908835990455, 50040.873497072025
0.0 1, 0.38, 2, 50040.16399383545, 0.09006761186015899, 50040.25406144731
0.0 1, 0.4, 2, 50041.08399152756, 0.09281309933834436, 50041.1768046269
0.0 1, 0.42, 2, 50041.08764231205, 0.09745849196569523, 50041.18510080402
0.0 1, 0.44, 2, 50040.9160554409, 0.1022786512991799, 50041.0183340922
0.0 1, 0.46, 2, 50041.41986370087, 0.10697685003335466, 50041.5268405509
0.0 1, 0.48, 2, 50040.79192876816, 0.10708506849326216, 50040.89901383665
0.0 1, 0.5, 2, 50040.76637327671, 0.11007796440999162, 50040.87645124112
0.0 1, 0.0, 6, 50037.812888622284, 0.03405856615452385, 50037.84694718844
0.0 1, 0.02, 6, 50038.08669745922, 0.034228362146564995, 50038.120925821364
0.0 1, 0.04, 6, 50037.8055870533, 0.03491671012497921, 50037.84050376342
0.0 1, 0.06, 6, 50038.006380200386, 0.035837917874428804, 50038.04221811826
0.0 1, 0.08, 6, 50037.84574568272, 0.03768551493024408, 50037.883431197646
0.0 1, 0.1, 6, 50037.72892057896, 0.03956510650002132, 50037.768485685454
0.0 1, 0.12, 6, 50038.459077477455, 0.04206675885439015, 50038.50114423631
0.0 1, 0.14, 6, 50037.929713726044, 0.044510233652566455, 50037.974223959696
0.0 1, 0.16, 6, 50038.08304667473, 0.04761745811135687, 50038.13066413284
0.0 1, 0.18, 6, 50037.637650966644, 0.05196490817631039, 50037.68961587482
0.0 1, 0.2, 6, 50037.944316864014, 0.0553048459813521, 50037.99962171
0.0 1, 0.22, 6, 50037.5135242939, 0.05955436726792096, 50037.57307866117
0.0 1, 0.24, 6, 50037.67050802708, 0.0621098671483985, 50037.732617894224
0.0 1, 0.26, 6, 50038.10495138168, 0.06563172070418788, 50038.17058310239
0.0 1, 0.28, 6, 50037.827491760254, 0.07252430852947656, 50037.90001606879
0.0 1, 0.3, 6, 50038.356855511665, 0.07570315225421453, 50038.43255866392
0.0 1, 0.32, 6, 50037.947967648506, 0.07812776913222974, 50038.02609541764
0.0 1, 0.34, 6, 50037.88225352764, 0.08188808042034679, 50037.96414160806
0.0 1, 0.36, 6, 50038.41891884804, 0.08682330414639217, 50038.505742152185
0.0 1, 0.38, 6, 50038.1451100111, 0.09168127774128709, 50038.236791288844
0.0 1, 0.4, 6, 50037.915110588074, 0.0930930938290705, 50038.0082036819
0.0 1, 0.42, 6, 50037.89685666561, 0.0963770741895642, 50037.9932337398
0.0 1, 0.44, 6, 50037.739872932434, 0.10258859494231021, 50037.842461527376
0.0 1, 0.46, 6, 50037.918761372566, 0.10328224138822761, 50038.02204361396
0.0 1, 0.48, 6, 50037.77272999287, 0.10895001247169178, 50037.88168000534
0.0 1, 0.5, 6, 50038.17066550255, 0.11428065415413058, 50038.2849461567
0.0 1, 0.0, 11, 50041.609704494476, 0.03482389189126456, 50041.644528386365
0.0 1, 0.02, 11, 50042.091608047485, 0.03504887469504536, 50042.12665692218
0.0 1, 0.04, 11, 50041.85430705547, 0.03565051478300452, 50041.88995757026
0.0 1, 0.06, 11, 50041.98208451271, 0.036665796004397566, 50042.018750308715
0.0 1, 0.08, 11, 50041.741132736206, 0.03831184029879964, 50041.7794445765
0.0 1, 0.1, 11, 50042.27049648762, 0.04059309390574839, 50042.311089581526
0.0 1, 0.12, 11, 50041.872560977936, 0.04308114339169122, 50041.91564212133
0.0 1, 0.14, 11, 50042.43113100529, 0.04570375344102262, 50042.47683475873
0.0 1, 0.16, 11, 50042.06970334053, 0.04860709905594196, 50042.11831043959
0.0 1, 0.18, 11, 50041.624307632446, 0.05177459952900032, 50041.67608223198
0.0 1, 0.2, 11, 50041.682720184326, 0.057112562049368654, 50041.739832746374
0.0 1, 0.22, 11, 50041.872560977936, 0.059991083570312465, 50041.93255206151
0.0 1, 0.24, 11, 50042.00764000416, 0.06429525829385607, 50042.07193526245
0.0 1, 0.26, 11, 50041.211768984795, 0.06850159015220447, 50041.28027057495
0.0 1, 0.28, 11, 50041.77764058113, 0.0725209598257901, 50041.850161540955
0.0 1, 0.3, 11, 50042.19748079777, 0.07394174588226232, 50042.27142254365
0.0 1, 0.32, 11, 50042.00764000416, 0.07937220729765804, 50042.08701221146
0.0 1, 0.34, 11, 50041.39065742493, 0.08285122910860776, 50041.47350865404
0.0 1, 0.36, 11, 50042.05144941807, 0.08866884230273364, 50042.14011826037
0.0 1, 0.38, 11, 50041.65716469288, 0.08855349255068934, 50041.745718185426
0.0 1, 0.4, 11, 50042.10986196995, 0.09320459540284765, 50042.20306656535
0.0 1, 0.42, 11, 50041.92002117634, 0.09781691309996365, 50042.017838089436
0.0 1, 0.44, 11, 50041.38335585594, 0.10487991617478809, 50041.488235772114
0.0 1, 0.46, 11, 50041.711926460266, 0.10559871953550592, 50041.8175251798
0.0 1, 0.48, 11, 50041.76668822765, 0.11364777755758737, 50041.88033600521
0.0 1, 0.5, 11, 50041.78859293461, 0.11642496370216249, 50041.90501789831
0.0 1, 0.0, 26, 49950.48247277737, 0.03498102706804207, 49950.51745380444
0.0 1, 0.02, 26, 49950.4678696394, 0.03510745427333295, 49950.50297709367
0.0 1, 0.04, 26, 49950.47152042389, 0.03572087914985267, 49950.507241303036
0.0 1, 0.06, 26, 49950.712472200394, 0.037081357713000584, 49950.749553558104
0.0 1, 0.08, 26, 49950.44596493244, 0.038365864231588054, 49950.48433079667
0.0 1, 0.1, 26, 49951.081201434135, 0.0409296723018403, 49951.12213110644
0.0 1, 0.12, 26, 49950.58469474316, 0.04326055106502724, 49950.62795529422
0.0 1, 0.14, 26, 49950.28167963028, 0.045463765980311543, 49950.32714339626
0.0 1, 0.16, 26, 49950.52628219128, 0.048487404324560224, 49950.5747695956
0.0 1, 0.18, 26, 49950.847551226616, 0.0534679513720564, 49950.90101917799
0.0 1, 0.2, 26, 49950.288981199265, 0.05734972476371547, 49950.346330924025
0.0 1, 0.22, 26, 49950.74898004532, 0.06030228036478169, 49950.80928232568
0.0 1, 0.24, 26, 49950.60659945011, 0.06277198210332735, 49950.66937143222
0.0 1, 0.26, 26, 49950.13199746609, 0.06767007128495184, 49950.199667537374
0.0 1, 0.28, 26, 49950.96072554588, 0.07415688435670587, 49951.03488243024
0.0 1, 0.3, 26, 49950.57009160519, 0.07635280596218175, 49950.64644441115
0.0 1, 0.32, 26, 49950.672313570976, 0.07898407891895665, 49950.7512976499
0.0 1, 0.34, 26, 49950.288981199265, 0.0808867748450336, 49950.36986797411
0.0 1, 0.36, 26, 49950.35469532013, 0.08721099758246664, 49950.44190631771
